"dim1","dim2","dim3","dim4","dim5","dim6","dim7","class"
1.51593,73.17,13.25,3.45,1.43,0,0,"class1"
1.51646,72.81,13.41,3.55,1.25,0,0,"class1"
1.51594,72.87,13.09,3.52,1.55,0,0.09,"class1"
1.51409,72.28,14.25,3.09,2.08,0,0,"class1"
1.51625,72.72,13.36,3.58,1.49,0,0,"class1"
1.51569,73.25,13.24,3.49,1.47,0,0,"class1"
1.51645,72.65,13.4,3.49,1.52,0,0.1,"class1"
1.51574,71.87,14.86,3.67,1.74,0,0.12,"class1"
1.51848,71.96,13.64,3.87,1.27,0,0.32,"class1"
1.51593,73.1,13.09,3.59,1.52,0,0,"class1"
1.51631,72.87,13.34,3.57,1.57,0,0,"class1"
1.51596,73.11,13.02,3.56,1.54,0,0,"class1"
1.5159,73.12,13.02,3.58,1.51,0,0,"class1"
1.51645,72.39,13.44,3.61,1.54,0,0,"class1"
1.51627,72.83,13,3.58,1.54,0,0,"class1"
1.51613,72.88,13.92,3.52,1.25,0,0.14,"class1"
1.5159,72.86,12.82,3.52,1.9,0,0,"class1"
1.51592,72.66,12.86,3.52,2.12,0,0,"class1"
1.51618,72.89,13.01,3.5,1.48,0,0,"class1"
1.5164,73.23,12.55,3.48,1.87,0,0.09,"class1"
1.51841,72.28,12.93,3.74,1.11,0,0.22,"class1"
1.51605,73.06,12.9,3.44,1.45,0,0,"class1"
1.51588,73.26,13.12,3.41,1.58,0,0.19,"class1"
1.5159,73.1,13.24,3.34,1.47,0,0,"class1"
1.51629,73.28,12.71,3.33,1.49,0,0,"class1"
1.5186,72.26,13.36,3.43,1.43,0,0,"class1"
1.51841,72.34,13.02,3.62,1.06,0,0.15,"class1"
1.51743,73.55,12.2,3.25,1.16,0,0.24,"class1"
1.51689,73.21,12.67,2.88,1.71,0,0,"class1"
1.51811,72.92,12.96,2.96,1.43,0.14,0,"class1"
1.51655,73.27,12.75,2.85,1.44,0.11,0.22,"class1"
1.5173,72.87,12.35,2.72,1.63,0,0,"class1"
1.5182,73.81,12.62,2.76,0.83,0,0.2,"class1"
1.52725,70.57,13.8,3.15,0.66,0,0,"class1"
1.5241,71.15,13.83,2.9,1.17,0,0,"class1"
1.52475,72.19,11.45,0,1.88,0,0.34,"class1"
1.53125,69.81,10.73,0,2.1,3.15,0.28,"class1"
1.53393,70.16,12.3,0,1,0,0.24,"class1"
1.52222,72.67,14.43,0,1,0,0.08,"class1"
1.51818,74.45,13.72,0,0.56,0,0,"class1"
1.52664,73.21,11.23,0,0.77,0,0,"class1"
1.52739,73.08,11.02,0,0.75,0,0,"class1"
1.52777,72.02,12.64,0,0.67,0,0,"class1"
1.51892,72.55,13.46,3.83,1.26,0,0.14,"class1"
1.51847,72.44,13.1,3.97,1.19,0,0,"class1"
1.51846,72.38,13.41,3.89,1.33,0,0,"class1"
